fotograma;tipo_objeto;confianza_deteccion;x1;y1;x2;y2;matrícula_detectada;x1_matrícula;y1_matrícula;x2_matrícula;y2_matrícula;texto_matricula_ocr;tiempo_inferencia_yolo;tiempo_inferencia_easyocr
35;bus;0.9207499027252197;1354;161;1696;431;SÍ;1354;161;1694;430;E29HE;0.000163;0.059898
36;bus;0.9115561246871948;1356;163;1693;429;SÍ;1356;163;1687;428;I;0.000187;0.027471
37;bus;0.9200437068939209;1355;166;1681;427;SÍ;1355;166;1680;426;1;0.000213;0.039862
38;bus;0.9190113544464111;1354;165;1674;425;NO;1354;165;1673;419;;0.000392;0.078255
39;bus;0.9081627130508423;1352;168;1669;424;NO;1353;168;1668;418;;0.000338;0.015224
40;bus;0.9029629230499268;1351;166;1661;422;NO;1351;166;1660;414;;0.000165;0.014682
41;bus;0.9097073674201965;1348;169;1656;421;NO;1349;169;1655;414;;0.000193;0.014385
42;bus;0.9246846437454224;1349;173;1650;416;NO;1349;173;1649;411;;0.000194;0.014466
43;bus;0.9320007562637329;1345;175;1644;416;NO;1345;175;1644;410;;0.000226;0.015454
44;bus;0.928646445274353;1344;176;1637;415;NO;1344;176;1636;409;;0.000159;0.014420
45;bus;0.9288424849510193;1343;178;1638;414;NO;1344;178;1636;413;;0.000157;0.014550
46;bus;0.9199233651161194;1342;178;1630;412;NO;1342;178;1629;407;;0.000162;0.082986
47;bus;0.9226667284965515;1341;181;1627;413;NO;1342;181;1627;407;;0.000298;0.013741
48;bus;0.9171482920646667;1342;182;1625;414;NO;1343;182;1623;407;;0.000196;0.013403
49;bus;0.9205083250999451;1340;184;1614;413;NO;1340;184;1613;408;;0.000156;0.093085
50;bus;0.9159210920333862;1341;185;1614;411;NO;1341;185;1613;404;;0.000349;0.013135
51;bus;0.9254714250564575;1340;188;1601;412;NO;1341;188;1601;407;;0.000179;0.013130
52;bus;0.9386306405067444;1337;187;1598;411;NO;1337;187;1597;405;;0.000164;0.012583
53;bus;0.922925591468811;1336;189;1597;412;NO;1336;189;1596;405;;0.000143;0.012868
54;bus;0.9218800663948059;1336;190;1592;412;NO;1336;190;1591;403;;0.000198;0.081007
55;bus;0.9193131923675537;1335;191;1593;408;NO;1335;191;1591;404;;0.000190;0.011029
56;bus;0.9010626077651978;1334;190;1583;409;NO;1334;190;1582;401;;0.000165;0.010969
57;bus;0.90484619140625;1334;192;1579;408;NO;1336;192;1579;401;;0.000178;0.010610
58;bus;0.9099679589271545;1335;191;1576;407;NO;1335;191;1575;403;;0.000157;0.010620
59;bus;0.9141926765441895;1333;193;1570;406;NO;1333;193;1569;402;;0.000209;0.010884
60;bus;0.9051889777183533;1332;195;1567;403;NO;1332;195;1566;400;;0.000171;0.011191
61;bus;0.8944060206413269;1333;195;1564;404;NO;1333;196;1563;397;;0.000184;0.011670
62;bus;0.9091606736183167;1333;196;1562;405;NO;1333;197;1561;397;;0.000289;0.010912
63;bus;0.9010274410247803;1333;198;1555;406;NO;1333;198;1554;403;;0.000189;0.081491
64;bus;0.8806240558624268;1329;198;1551;405;NO;1331;198;1550;396;;0.000193;0.010544
65;bus;0.8671985864639282;1327;198;1549;403;NO;1329;199;1548;395;;0.000156;0.010037
66;bus;0.8439590930938721;1327;199;1543;401;NO;1330;199;1542;393;;0.000203;0.010167
67;bus;0.8059606552124023;1326;201;1538;399;NO;1329;201;1537;394;;0.000182;0.010026
