fotograma;tipo_objeto;confianza_deteccion;x1;y1;x2;y2;matrícula_detectada;x1_matrícula;y1_matrícula;x2_matrícula;y2_matrícula;texto_matricula_ocr;tiempo_inferencia_yolo;tiempo_inferencia_tesseract
221;car;0.9117237329483032;268;128;500;295;SÍ;269;128;499;295;S;0.000085;0.149915
222;car;0.8780897855758667;272;125;505;295;NO;274;125;504;295;;0.000261;0.146225
223;car;0.9058786034584045;275;123;510;296;SÍ;275;123;509;296;3;0.000081;0.166774
224;car;0.9166964888572693;275;121;512;296;SÍ;275;121;511;296;S;0.000084;0.143651
225;car;0.9242144227027893;275;119;516;296;SÍ;275;119;515;296;SS;0.000088;0.150720
226;car;0.9206197261810303;274;117;515;297;NO;274;117;514;297;;0.000080;0.152994
227;car;0.9280581474304199;271;115;516;295;SÍ;271;115;515;295;SS;0.000217;0.146035
228;car;0.9158573150634766;270;112;517;293;SÍ;270;112;516;293;S;0.000083;0.145682
229;car;0.9120379686355591;272;111;521;293;NO;272;111;520;293;;0.000085;0.144671
230;car;0.9120349884033203;406;73;639;198;NO;406;73;638;198;;0.000082;0.151703
231;car;0.9233810305595398;377;72;639;203;NO;377;72;638;200;;0.000102;0.147166
232;car;0.9075782895088196;349;71;639;201;NO;349;71;638;200;;0.000092;0.144036
233;car;0.9181765913963318;324;71;625;200;NO;324;71;625;200;;0.000087;0.142781
234;car;0.9208916425704956;302;75;593;198;NO;302;75;593;198;;0.000094;0.160725
235;car;0.9221163988113403;283;80;562;196;NO;283;80;561;196;;0.000086;0.152621
236;car;0.9065378308296204;264;73;531;193;NO;264;73;530;192;;0.000093;0.150274
237;car;0.909461259841919;248;72;503;190;NO;248;72;502;190;;0.000155;0.163592
238;car;0.913834810256958;233;73;475;189;SÍ;233;73;475;189;PS;0.000083;0.147395
239;car;0.9014807939529419;221;74;451;186;NO;221;75;450;186;;0.000096;0.146863
240;car;0.9071969389915466;209;76;426;183;NO;209;76;426;183;;0.000082;0.146881
241;car;0.900603175163269;200;77;404;180;SÍ;200;77;403;180;PZ;0.000084;0.149222
242;car;0.9129915237426758;194;79;386;179;SÍ;194;79;386;179;S;0.000084;0.146843
243;car;0.8687325119972229;192;80;367;176;SÍ;192;80;366;176;2D;0.000147;0.148899
244;car;0.8879694938659668;190;81;349;175;NO;190;81;348;175;;0.000088;0.142309
245;car;0.7830146551132202;190;81;334;172;NO;190;81;334;172;;0.000081;0.138105
246;car;0.8317408561706543;188;82;320;170;SÍ;188;82;319;168;J;0.000085;0.134864
247;car;0.8558827638626099;190;85;307;168;NO;190;85;306;167;;0.000083;0.146248
248;car;0.7850067019462585;188;86;295;165;SÍ;188;86;294;165;3;0.000104;0.136187
249;car;0.8431805968284607;188;88;285;164;SÍ;188;88;285;162;2;0.000115;0.137317
250;car;0.8799484968185425;188;88;275;161;SÍ;188;88;275;161;SS;0.000107;0.138176
251;car;0.8856171369552612;187;88;266;158;NO;187;88;266;158;;0.000079;0.128430
252;car;0.8171396851539612;0;2;560;354;NO;0;2;559;354;;0.000081;0.206341
253;car;0.8155909180641174;0;1;563;355;NO;0;1;562;355;;0.000085;0.193356
254;car;0.8557379245758057;0;3;564;355;NO;0;3;564;354;;0.000082;0.204984
255;car;0.8308359384536743;0;7;565;355;NO;0;7;565;351;;0.000089;0.207039
256;car;0.8137928247451782;0;5;564;355;SÍ;0;6;564;355;3;0.000136;0.220733
257;car;0.8368892669677734;0;16;562;355;SÍ;0;17;562;355;AE;0.000087;0.212971
258;car;0.8590905070304871;0;22;559;355;SÍ;0;22;559;355;AE;0.000193;0.208386
259;car;0.8659524917602539;0;27;556;355;NO;0;27;556;355;;0.000086;0.213991
260;car;0.8468114137649536;0;40;551;355;SÍ;0;40;551;355;7;0.000086;0.208671
261;car;0.8397009968757629;1;43;547;355;SÍ;1;43;547;355;DO;0.000082;0.201444
262;car;0.8500605225563049;1;51;550;355;SÍ;1;51;547;355;E;0.000087;0.202332
263;car;0.8530552387237549;1;58;539;355;NO;1;58;539;355;;0.000082;0.206048
264;car;0.8556839823722839;0;64;535;355;SÍ;0;64;534;355;DD;0.000084;0.202709
265;car;0.8537358045578003;0;69;532;356;SÍ;0;69;531;356;2;0.000205;0.194003
266;car;0.8631466627120972;1;72;525;356;SÍ;1;72;524;356;2;0.000088;0.195836
267;car;0.8564033508300781;1;73;521;355;SÍ;2;73;520;355;2;0.000087;0.206076
268;car;0.865958571434021;1;75;513;356;SÍ;2;75;513;354;SN;0.000088;0.199905
269;car;0.8599714636802673;1;77;519;356;SÍ;1;77;512;356;SN;0.000088;0.201574
270;car;0.8765988349914551;1;79;508;356;SÍ;2;79;508;355;SN;0.000084;0.195166
271;car;0.8895354866981506;0;81;507;356;SÍ;0;81;505;356;SE;0.000081;0.196525
272;car;0.8791992664337158;0;82;516;357;SÍ;0;82;505;357;S;0.000088;0.191467
273;car;0.8796639442443848;0;83;504;356;SÍ;1;83;504;356;SA;0.000084;0.186819
274;car;0.8755308985710144;0;85;501;356;SÍ;1;85;500;356;I;0.000084;0.190072
275;car;0.8774111866950989;0;86;503;357;SÍ;1;86;500;357;4;0.000082;0.191164
276;car;0.8878021240234375;1;87;500;356;SÍ;2;87;499;356;SS;0.000085;0.189305
277;car;0.9254018664360046;106;126;498;270;SÍ;106;126;498;270;M;0.000081;0.149239
278;car;0.9227195978164673;101;127;499;267;SÍ;101;127;498;267;S;0.000084;0.150712
279;car;0.9284178614616394;102;126;499;269;NO;102;126;498;269;;0.000084;0.152247
280;car;0.9208410978317261;106;124;501;269;SÍ;106;124;499;269;MB;0.000087;0.155657
281;car;0.9124411344528198;111;123;507;269;SÍ;111;123;505;269;MS;0.000092;0.154707
282;car;0.9098618626594543;116;123;512;270;NO;116;123;510;270;;0.000122;0.152718
283;car;0.9005506038665771;124;121;519;268;SÍ;124;121;518;268;SS;0.000090;0.150556
284;car;0.891472578048706;130;122;526;266;NO;130;122;524;266;;0.000135;0.152254
285;car;0.9023109674453735;138;124;534;266;NO;138;124;533;266;;0.000088;0.150219
286;car;0.8676066994667053;143;127;542;266;NO;143;127;538;266;;0.000090;0.149072
287;car;0.8986863493919373;150;130;550;264;NO;150;130;549;264;;0.000081;0.154073
288;car;0.864858865737915;158;132;559;264;NO;158;132;558;264;;0.000083;0.150498
289;car;0.878933310508728;168;133;566;265;NO;169;133;564;265;;0.000091;0.151992
290;car;0.8772152662277222;171;133;573;263;NO;171;133;572;263;;0.000094;0.151833
291;car;0.8882988691329956;173;133;577;263;NO;173;133;576;263;;0.000092;0.161524
292;car;0.8973563313484192;171;134;577;263;NO;171;134;576;263;;0.000087;0.153365
293;car;0.8917442560195923;171;134;578;264;NO;171;134;577;264;;0.000094;0.150061
294;car;0.9020461440086365;171;134;579;263;NO;172;134;578;263;;0.000144;0.152178
295;car;0.8968002200126648;172;134;578;264;NO;172;134;577;263;;0.000096;0.150365
296;car;0.8955717086791992;172;135;579;263;SÍ;172;135;577;263;A;0.000081;0.150079
297;car;0.8912537097930908;172;135;578;263;NO;172;135;576;263;;0.000091;0.143180
298;car;0.8874871730804443;174;136;581;262;NO;174;136;579;262;;0.000099;0.147316
299;car;0.8972107172012329;174;136;582;264;NO;174;136;580;264;;0.000083;0.154409
300;car;0.8942421078681946;174;137;581;264;NO;174;138;579;264;;0.000080;0.147488
301;car;0.8723329901695251;174;136;579;265;NO;174;136;578;265;;0.000088;0.144519
302;car;0.8748856782913208;173;135;576;263;NO;173;135;574;263;;0.000093;0.148472
303;car;0.871495246887207;170;135;574;262;NO;170;135;572;262;;0.000086;0.145873
304;car;0.909881591796875;165;135;571;262;NO;165;135;568;262;;0.000164;0.147492
305;car;0.9172533750534058;163;134;565;262;NO;163;134;562;262;;0.000101;0.146214
306;car;0.9297786355018616;158;134;561;262;NO;158;134;557;262;;0.000085;0.147173
307;car;0.9332790374755859;177;133;560;260;NO;177;133;557;260;;0.000089;0.146036
308;car;0.9393153190612793;158;131;559;258;NO;158;131;558;258;;0.000085;0.158308
309;car;0.911203145980835;184;130;559;257;NO;184;130;557;257;;0.000085;0.152789
310;car;0.8948273062705994;153;128;558;254;NO;153;128;556;254;;0.000119;0.149323
311;car;0.8982425332069397;149;126;556;253;NO;149;127;554;253;;0.000133;0.151326
312;car;0.8979676365852356;146;124;556;252;SÍ;146;124;554;252;P;0.000084;0.161416
313;car;0.9011478424072266;145;123;553;252;NO;145;123;551;252;;0.000082;0.151689
314;car;0.9003299474716187;138;120;553;251;NO;138;120;551;251;;0.000089;0.150022
315;car;0.8872778415679932;142;119;549;252;NO;142;119;547;252;;0.000092;0.147991
316;car;0.8748579621315002;144;117;550;251;NO;144;117;548;251;;0.000088;0.145005
317;car;0.897308886051178;136;115;551;252;NO;136;115;548;252;;0.000081;0.154092
318;car;0.8690323233604431;134;114;552;250;NO;134;114;550;250;;0.000082;0.157729
319;car;0.8797439336776733;132;112;554;251;NO;132;112;552;251;;0.000085;0.152958
320;car;0.8865607976913452;173;68;339;178;SÍ;174;68;336;177;4;0.000081;0.132974
321;car;0.9034960865974426;171;67;339;179;SÍ;172;67;337;178;4;0.000082;0.131981
322;car;0.9057917594909668;166;66;338;180;NO;168;66;337;179;;0.000082;0.133050
323;car;0.8874695301055908;160;66;336;179;SÍ;238;146;280;163;ET;0.000080;0.118064
324;car;0.8869749307632446;155;65;335;180;NO;157;65;333;180;;0.000083;0.130279
325;car;0.9068278074264526;149;64;334;180;SÍ;149;64;333;178;4;0.000082;0.131887
326;car;0.8516331911087036;145;62;334;180;SÍ;236;136;281;155;E;0.000082;0.124227
327;car;0.8730530738830566;140;62;333;180;NO;140;62;332;180;;0.000083;0.133525
328;car;0.8252242803573608;137;62;332;180;SÍ;236;128;282;147;ET3;0.000084;0.117036
329;car;0.7322853207588196;133;61;331;180;SÍ;133;61;330;179;1;0.000082;0.136243
332;car;0.8097459673881531;121;60;329;180;SÍ;237;128;279;145;E3633P;0.000080;0.125852
333;car;0.794960081577301;117;60;329;180;SÍ;236;128;282;146;ET3633P;0.000080;0.124186
334;car;0.8021845817565918;113;60;329;180;NO;113;60;329;180;;0.000082;0.136537
335;car;0.8354406952857971;109;60;330;180;SÍ;239;129;282;147;ET;0.000082;0.125883
336;car;0.8166505098342896;105;60;331;180;NO;105;60;330;180;;0.000087;0.133866
337;car;0.7180367112159729;102;60;333;180;NO;102;60;332;178;;0.000082;0.134927
338;car;0.8059502243995667;99;59;335;180;NO;99;59;334;179;;0.000082;0.137002
339;car;0.8428035378456116;95;57;338;181;NO;95;57;337;179;;0.000080;0.139694
340;car;0.8570550680160522;94;56;340;181;NO;94;56;339;181;;0.000081;0.141874
341;car;0.8802049160003662;91;53;343;181;SÍ;261;137;303;152;ET;0.000081;0.126679
342;car;0.8543562889099121;88;50;347;182;SÍ;88;50;347;182;9;0.000083;0.145372
343;car;0.7852527499198914;86;48;351;184;SÍ;86;48;350;184;I;0.000085;0.138975
344;car;0.7897473573684692;84;48;352;187;NO;84;48;351;186;;0.000086;0.149850
345;car;0.7813596129417419;81;47;352;185;SÍ;81;47;351;183;S;0.000112;0.146269
346;car;0.7992632389068604;78;47;353;186;SÍ;78;47;353;183;I;0.000084;0.144817
347;car;0.8613893985748291;76;49;354;188;NO;76;49;353;187;;0.000124;0.144015
348;car;0.8954296708106995;72;52;360;189;NO;72;52;359;185;;0.000091;0.144970
349;car;0.9058032631874084;68;52;364;190;SÍ;69;52;363;187;PS;0.000080;0.160297
350;car;0.9152576327323914;64;54;363;193;NO;64;54;362;190;;0.000083;0.151139
351;car;0.9245132803916931;60;54;363;194;SÍ;60;54;363;192;S;0.000178;0.152692
352;car;0.9285300374031067;56;54;364;194;SÍ;56;54;364;194;2;0.000102;0.157391
353;car;0.9468013644218445;52;54;364;194;NO;52;54;364;194;;0.000100;0.165752
354;car;0.9417772889137268;49;53;363;193;NO;50;53;363;193;;0.000096;0.162571
355;car;0.935204029083252;47;52;364;194;NO;295;154;334;170;;0.000084;0.126136
356;car;0.9364709258079529;44;51;364;195;NO;296;154;336;169;;0.000081;0.123880
