fotograma;tipo_objeto;confianza_deteccion;x1;y1;x2;y2;matrícula_detectada;x1_matrícula;y1_matrícula;x2_matrícula;y2_matrícula;texto_matricula_ocr;tiempo_inferencia_yolo;tiempo_inferencia_easyocr
401;car;0.9025437235832214;395;131;549;212;NO;395;131;548;211;;0.000077;0.006977
402;car;0.9056268930435181;390;133;542;212;NO;390;133;541;212;;0.000076;0.006242
403;car;0.9155973792076111;385;133;535;213;NO;385;133;534;213;;0.000075;0.006264
404;car;0.9023224115371704;381;133;529;211;NO;381;133;528;211;;0.000075;0.008461
405;car;0.8754348158836365;375;135;520;212;NO;375;135;519;212;;0.000079;0.006514
406;car;0.8831202983856201;370;138;513;211;NO;370;138;513;211;;0.000077;0.006584
407;car;0.8898069858551025;365;141;506;211;NO;365;141;505;211;;0.000078;0.007281
408;car;0.8848388195037842;361;142;499;211;NO;361;142;498;211;;0.000128;0.006410
409;car;0.8720153570175171;355;143;491;211;NO;355;143;490;211;;0.000076;0.006351
410;car;0.887079119682312;352;144;484;212;NO;352;144;483;212;;0.000153;0.006636
411;car;0.8522694706916809;346;145;477;211;NO;346;145;476;211;;0.000106;0.006411
412;car;0.8708747625350952;342;146;469;212;NO;342;146;468;212;;0.000077;0.007008
413;car;0.8661767840385437;337;147;462;212;NO;337;147;462;212;;0.000076;0.006371
414;car;0.8787779808044434;332;147;456;213;NO;332;147;456;213;;0.000079;0.007100
415;car;0.8690133690834045;327;149;450;213;NO;327;149;450;213;;0.000076;0.006897
416;car;0.8678173422813416;323;149;442;213;NO;323;149;442;213;;0.000077;0.006418
417;car;0.8606534004211426;318;150;436;213;NO;318;150;435;213;;0.000077;0.006633
418;car;0.8234938383102417;312;152;430;213;NO;312;152;430;213;;0.000088;0.006940
419;car;0.8752577900886536;310;153;424;214;NO;310;153;424;214;;0.000083;0.006570
420;car;0.848288357257843;306;154;419;213;NO;306;154;419;213;;0.000077;0.006432
421;car;0.830437183380127;303;155;415;214;NO;303;155;415;213;;0.000077;0.006815
422;car;0.7531042098999023;300;156;410;215;NO;300;156;410;215;;0.000092;0.007344
423;car;0.8263301849365234;297;157;406;214;NO;297;157;406;213;;0.000078;0.006986
424;car;0.8113595843315125;294;158;403;215;NO;294;158;403;215;;0.000077;0.007483
425;car;0.8404618501663208;292;160;398;216;NO;292;160;398;215;;0.000113;0.007837
426;car;0.8474536538124084;289;160;393;217;NO;289;160;392;216;;0.000076;0.007206
427;car;0.8942295908927917;285;160;390;218;NO;285;160;390;218;;0.000077;0.007379
428;car;0.874043881893158;281;161;387;219;NO;281;161;386;219;;0.000081;0.006343
429;car;0.8659877777099609;277;162;384;219;NO;277;162;384;219;;0.000077;0.006964
430;car;0.8597604632377625;274;164;379;219;NO;274;164;379;219;;0.000078;0.006408
431;car;0.8617947697639465;270;164;375;219;NO;270;164;375;219;;0.000076;0.006449
432;car;0.8571478128433228;265;165;371;220;NO;265;165;371;220;;0.000077;0.006601
433;car;0.8283481597900391;263;166;368;221;NO;263;166;368;221;;0.000077;0.007101
434;car;0.8596710562705994;261;167;365;222;NO;261;167;364;221;;0.000074;0.007256
435;car;0.832126259803772;259;168;363;223;NO;259;168;363;222;;0.000076;0.006158
436;car;0.8299067616462708;259;169;362;224;NO;259;169;362;224;;0.000077;0.006625
437;car;0.8099574446678162;260;170;362;225;NO;260;170;362;225;;0.000076;0.006804
438;car;0.8275402188301086;259;172;362;226;NO;259;172;362;225;;0.000079;0.007845
439;car;0.8342452645301819;260;173;362;227;NO;260;173;362;226;;0.000079;0.007824
440;car;0.8336524963378906;261;173;362;227;NO;261;173;362;227;;0.000080;0.006301
441;car;0.8270600438117981;261;174;362;228;NO;261;174;362;228;;0.000104;0.006304
442;car;0.842616856098175;261;175;361;228;NO;261;175;360;227;;0.000134;0.007578
443;car;0.837120771408081;261;176;360;230;NO;261;176;359;230;;0.000080;0.006564
444;car;0.827455997467041;259;177;359;232;NO;259;177;358;231;;0.000078;0.006991
445;car;0.8534186482429504;258;179;358;233;NO;258;179;358;233;;0.000079;0.006178
446;car;0.8748641610145569;257;181;357;234;NO;257;181;356;233;;0.000075;0.006161
447;car;0.8635459542274475;257;182;356;235;NO;257;182;356;235;;0.000084;0.006199
448;car;0.857475757598877;256;184;355;236;NO;256;184;354;235;;0.000073;0.006210
449;car;0.8410784006118774;256;185;353;238;NO;256;185;352;237;;0.000110;0.007144
450;car;0.8012256026268005;255;186;351;240;NO;255;186;351;240;;0.000256;0.006276
451;car;0.8365939855575562;254;188;351;242;NO;254;188;351;241;;0.000077;0.009258
452;car;0.846290111541748;253;189;350;243;NO;253;189;350;242;;0.000143;0.006124
453;car;0.8489274382591248;252;190;349;243;NO;252;190;348;243;;0.000074;0.008104
454;car;0.818662166595459;251;192;348;246;NO;251;192;348;245;;0.000083;0.006131
455;car;0.8281859755516052;252;194;347;247;NO;252;194;347;246;;0.000113;0.006482
456;car;0.7570931911468506;250;196;346;249;NO;250;196;346;248;;0.000099;0.006221
457;car;0.7980073094367981;250;196;346;251;NO;250;196;346;250;;0.000075;0.006545
458;car;0.7663993239402771;249;198;345;252;NO;249;198;345;251;;0.000078;0.005958
459;car;0.7598658204078674;249;199;345;254;NO;249;199;345;253;;0.000077;0.006767
460;car;0.7750491499900818;248;201;344;254;NO;248;201;344;253;;0.000076;0.006400
461;car;0.7889381647109985;247;202;343;257;NO;247;202;343;256;;0.000077;0.006290
462;car;0.7503125071525574;247;202;343;258;NO;247;202;343;257;;0.000083;0.006259
